[2025-04-02 12:11:42,323] INFO: [CLIENT] Sent video packet of size 59309 at timestamp 1743585102.3222876
[2025-04-02 12:11:42,372] INFO: [CLIENT] Sent video packet of size 59395 at timestamp 1743585102.3697236
[2025-04-02 12:11:42,417] INFO: [CLIENT] Sent video packet of size 59381 at timestamp 1743585102.4162343
[2025-04-02 12:11:42,464] INFO: [CLIENT] Sent video packet of size 59369 at timestamp 1743585102.463218
[2025-04-02 12:11:42,510] INFO: [CLIENT] Sent video packet of size 59352 at timestamp 1743585102.5092506
[2025-04-02 12:11:42,557] INFO: [CLIENT] Sent video packet of size 59157 at timestamp 1743585102.5560672
[2025-04-02 12:11:42,605] INFO: [CLIENT] Sent video packet of size 59280 at timestamp 1743585102.6043835
[2025-04-02 12:11:42,652] INFO: [CLIENT] Sent video packet of size 59169 at timestamp 1743585102.6512005
[2025-04-02 12:11:42,700] INFO: [CLIENT] Sent video packet of size 59053 at timestamp 1743585102.699214
[2025-04-02 12:11:42,747] INFO: [CLIENT] Sent video packet of size 59965 at timestamp 1743585102.746237
[2025-04-02 12:11:42,794] INFO: [CLIENT] Sent video packet of size 60132 at timestamp 1743585102.7932448
[2025-04-02 12:11:43,745] INFO: [CLIENT] Sent video packet of size 59887 at timestamp 1743585102.840282
[2025-04-02 12:11:43,789] INFO: [CLIENT] Sent video packet of size 56770 at timestamp 1743585103.7886324
[2025-04-02 12:11:43,837] INFO: [CLIENT] Sent video packet of size 56507 at timestamp 1743585103.8366044
[2025-04-02 12:11:43,884] INFO: [CLIENT] Sent video packet of size 57177 at timestamp 1743585103.8829992
[2025-04-02 12:11:43,931] INFO: [CLIENT] Sent video packet of size 56653 at timestamp 1743585103.930615
[2025-04-02 12:11:43,978] INFO: [CLIENT] Sent video packet of size 54580 at timestamp 1743585103.9768941
[2025-04-02 12:11:44,024] INFO: [CLIENT] Sent video packet of size 54921 at timestamp 1743585104.023243
[2025-04-02 12:11:44,071] INFO: [CLIENT] Sent video packet of size 54608 at timestamp 1743585104.070334
[2025-04-02 12:11:44,123] INFO: [CLIENT] Sent video packet of size 55048 at timestamp 1743585104.1219327
[2025-04-02 12:11:44,179] INFO: [CLIENT] Sent video packet of size 55132 at timestamp 1743585104.1784441
[2025-04-02 12:11:44,226] INFO: [CLIENT] Sent video packet of size 55212 at timestamp 1743585104.2252636
[2025-04-02 12:11:44,273] INFO: [CLIENT] Sent video packet of size 55957 at timestamp 1743585104.2723556
[2025-04-02 12:11:44,320] INFO: [CLIENT] Sent video packet of size 57244 at timestamp 1743585104.3192973
[2025-04-02 12:11:44,366] INFO: [CLIENT] Sent video packet of size 57109 at timestamp 1743585104.365073
[2025-04-02 12:11:44,414] INFO: [CLIENT] Sent video packet of size 57063 at timestamp 1743585104.4133642
[2025-04-02 12:11:44,461] INFO: [CLIENT] Sent video packet of size 57245 at timestamp 1743585104.4603665
[2025-04-02 12:11:44,509] INFO: [CLIENT] Sent video packet of size 56821 at timestamp 1743585104.5085585
[2025-04-02 12:11:44,557] INFO: [CLIENT] Sent video packet of size 56999 at timestamp 1743585104.556373
[2025-04-02 12:11:44,604] INFO: [CLIENT] Sent video packet of size 57328 at timestamp 1743585104.603351
[2025-04-02 12:11:44,652] INFO: [CLIENT] Sent video packet of size 56504 at timestamp 1743585104.6513417
[2025-04-02 12:11:44,699] INFO: [CLIENT] Sent video packet of size 56670 at timestamp 1743585104.6984088
[2025-04-02 12:11:44,746] INFO: [CLIENT] Sent video packet of size 56404 at timestamp 1743585104.7453728
[2025-04-02 12:11:44,793] INFO: [CLIENT] Sent video packet of size 56806 at timestamp 1743585104.7923496
[2025-04-02 12:11:44,841] INFO: [CLIENT] Sent video packet of size 56786 at timestamp 1743585104.8403392
[2025-04-02 12:11:44,889] INFO: [CLIENT] Sent video packet of size 56647 at timestamp 1743585104.8883095
[2025-04-02 12:11:44,936] INFO: [CLIENT] Sent video packet of size 56651 at timestamp 1743585104.9353247
[2025-04-02 12:11:44,986] INFO: [CLIENT] Sent video packet of size 57538 at timestamp 1743585104.9854126
[2025-04-02 12:11:45,031] INFO: [CLIENT] Sent video packet of size 57665 at timestamp 1743585105.0303755
[2025-04-02 12:11:45,078] INFO: [CLIENT] Sent video packet of size 57735 at timestamp 1743585105.0764577
[2025-04-02 12:11:45,124] INFO: [CLIENT] Sent video packet of size 57971 at timestamp 1743585105.1232862
[2025-04-02 12:11:46,733] INFO: [CLIENT] Sent video packet of size 57868 at timestamp 1743585105.1703582
[2025-04-02 12:11:46,789] INFO: [CLIENT] Sent video packet of size 47749 at timestamp 1743585106.7884238
[2025-04-02 12:11:46,836] INFO: [CLIENT] Sent video packet of size 47839 at timestamp 1743585106.8352864
[2025-04-02 12:11:46,881] INFO: [CLIENT] Sent video packet of size 47834 at timestamp 1743585106.8806834
[2025-04-02 12:11:46,930] INFO: [CLIENT] Sent video packet of size 47883 at timestamp 1743585106.928617
[2025-04-02 12:11:46,977] INFO: [CLIENT] Sent video packet of size 53332 at timestamp 1743585106.976242
[2025-04-02 12:11:47,023] INFO: [CLIENT] Sent video packet of size 52486 at timestamp 1743585107.0226557
[2025-04-02 12:11:47,071] INFO: [CLIENT] Sent video packet of size 52174 at timestamp 1743585107.0706623
[2025-04-02 12:11:47,116] INFO: [CLIENT] Sent video packet of size 51523 at timestamp 1743585107.115652
[2025-04-02 12:11:47,163] INFO: [CLIENT] Sent video packet of size 51261 at timestamp 1743585107.1626928
[2025-04-02 12:11:47,211] INFO: [CLIENT] Sent video packet of size 55882 at timestamp 1743585107.2098637
[2025-04-02 12:11:47,257] INFO: [CLIENT] Sent video packet of size 60333 at timestamp 1743585107.2563741
[2025-04-02 12:11:47,304] INFO: [CLIENT] Sent video packet of size 59522 at timestamp 1743585107.303301
[2025-04-02 12:11:47,352] INFO: [CLIENT] Sent video packet of size 56895 at timestamp 1743585107.3513105
[2025-04-02 12:11:47,399] INFO: [CLIENT] Sent video packet of size 56125 at timestamp 1743585107.3981137
[2025-04-02 12:11:47,446] INFO: [CLIENT] Sent video packet of size 55605 at timestamp 1743585107.4455006
[2025-04-02 12:11:47,493] INFO: [CLIENT] Sent video packet of size 54541 at timestamp 1743585107.4926515
[2025-04-02 12:11:48,240] INFO: [CLIENT] Sent video packet of size 50993 at timestamp 1743585107.5398645
[2025-04-02 12:11:48,284] INFO: [CLIENT] Sent video packet of size 49338 at timestamp 1743585108.283765
[2025-04-02 12:11:48,331] INFO: [CLIENT] Sent video packet of size 49290 at timestamp 1743585108.330549
[2025-04-02 12:11:48,377] INFO: [CLIENT] Sent video packet of size 49240 at timestamp 1743585108.375946
[2025-04-02 12:11:48,424] INFO: [CLIENT] Sent video packet of size 49379 at timestamp 1743585108.423369
